type,unit,creationDate,startDate,endDate,value
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 18:46:07 -0500,2016-05-12 17:46:23 -0500,2016-05-12 17:47:06 -0500,0.0230715
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 18:46:07 -0500,2016-05-12 18:06:30 -0500,2016-05-12 18:12:09 -0500,0.0457081
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 18:46:07 -0500,2016-05-12 18:12:09 -0500,2016-05-12 18:12:25 -0500,0.0035791
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 18:46:07 -0500,2016-05-12 18:24:23 -0500,2016-05-12 18:27:04 -0500,0.0398672
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 18:46:07 -0500,2016-05-12 18:40:21 -0500,2016-05-12 18:41:30 -0500,0.0429678
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 19:55:07 -0500,2016-05-12 19:56:47 -0500,0.0655484
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:03:24 -0500,2016-05-12 20:08:24 -0500,0.0372512
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:08:24 -0500,2016-05-12 20:13:26 -0500,0.160948
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:13:26 -0500,2016-05-12 20:18:26 -0500,0.210558
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:18:26 -0500,2016-05-12 20:23:29 -0500,0.226738
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:23:29 -0500,2016-05-12 20:28:31 -0500,0.226179
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:28:31 -0500,2016-05-12 20:33:32 -0500,0.205599
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:33:32 -0500,2016-05-12 20:38:34 -0500,0.336404
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 20:46:07 -0500,2016-05-12 20:38:34 -0500,2016-05-12 20:43:37 -0500,0.198466
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 22:02:14 -0500,2016-05-12 20:43:37 -0500,2016-05-12 20:46:41 -0500,0.119235
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-12 22:02:14 -0500,2016-05-12 21:10:02 -0500,2016-05-12 21:14:52 -0500,0.059254
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 00:39:41 -0500,2016-05-13 00:01:54 -0500,2016-05-13 00:03:39 -0500,0.0044863
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 08:36:58 -0500,2016-05-13 08:28:37 -0500,2016-05-13 08:31:47 -0500,0.0421538
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 09:36:58 -0500,2016-05-13 08:47:03 -0500,2016-05-13 08:49:45 -0500,0.0476281
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 09:36:58 -0500,2016-05-13 09:15:28 -0500,2016-05-13 09:16:01 -0500,0.0181192
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 09:36:58 -0500,2016-05-13 09:30:40 -0500,2016-05-13 09:35:41 -0500,0.0193309
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 10:39:15 -0500,2016-05-13 09:54:11 -0500,2016-05-13 09:59:01 -0500,0.0295276
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 10:39:15 -0500,2016-05-13 10:05:11 -0500,2016-05-13 10:06:04 -0500,0.0301365
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 12:38:15 -0500,2016-05-13 11:39:31 -0500,2016-05-13 11:41:27 -0500,0.0501571
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 12:38:15 -0500,2016-05-13 12:23:24 -0500,2016-05-13 12:23:53 -0500,0.0126387
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 13:44:31 -0500,2016-05-13 12:52:43 -0500,2016-05-13 12:54:44 -0500,0.0489827
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 15:37:31 -0500,2016-05-13 14:46:38 -0500,2016-05-13 14:52:12 -0500,0.0299377
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 15:37:31 -0500,2016-05-13 14:52:12 -0500,2016-05-13 14:53:27 -0500,0.0295773
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 17:00:00 -0500,2016-05-13 15:58:37 -0500,2016-05-13 16:01:38 -0500,0.0587258
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 17:00:00 -0500,2016-05-13 16:49:04 -0500,2016-05-13 16:50:01 -0500,0.0392644
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 17:36:58 -0500,2016-05-13 17:08:19 -0500,2016-05-13 17:11:31 -0500,0.0395876
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 17:36:58 -0500,2016-05-13 17:21:55 -0500,2016-05-13 17:26:53 -0500,0.00447387
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 18:45:13 -0500,2016-05-13 17:32:53 -0500,2016-05-13 17:35:40 -0500,0.00776714
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 18:45:13 -0500,2016-05-13 18:24:08 -0500,2016-05-13 18:26:22 -0500,0.0397367
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 18:45:13 -0500,2016-05-13 18:36:04 -0500,2016-05-13 18:37:26 -0500,0.0514247
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:42:29 -0500,2016-05-13 18:43:51 -0500,0.0191072
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:43:51 -0500,2016-05-13 18:45:13 -0500,0.0352939
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:45:13 -0500,2016-05-13 18:46:15 -0500,0.0527047
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:46:15 -0500,2016-05-13 18:47:16 -0500,0.0740053
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:47:16 -0500,2016-05-13 18:48:18 -0500,0.148122
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:48:18 -0500,2016-05-13 18:49:20 -0500,0.148794
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:49:20 -0500,2016-05-13 18:50:22 -0500,0.144127
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:50:22 -0500,2016-05-13 18:51:23 -0500,0.136975
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:51:23 -0500,2016-05-13 18:52:25 -0500,0.142101
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:52:25 -0500,2016-05-13 18:53:27 -0500,0.141542
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:53:27 -0500,2016-05-13 18:54:28 -0500,0.153671
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:54:28 -0500,2016-05-13 18:55:30 -0500,0.158077
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:55:30 -0500,2016-05-13 18:56:32 -0500,0.157443
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:56:32 -0500,2016-05-13 18:57:34 -0500,0.155703
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:57:34 -0500,2016-05-13 18:58:35 -0500,0.139616
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:58:35 -0500,2016-05-13 18:59:37 -0500,0.137236
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 18:59:37 -0500,2016-05-13 19:00:39 -0500,0.112512
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:00:39 -0500,2016-05-13 19:01:40 -0500,0.104229
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:01:40 -0500,2016-05-13 19:02:42 -0500,0.152919
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:02:42 -0500,2016-05-13 19:03:44 -0500,0.119117
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:03:44 -0500,2016-05-13 19:04:46 -0500,0.131768
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:04:46 -0500,2016-05-13 19:05:47 -0500,0.149806
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:05:47 -0500,2016-05-13 19:06:49 -0500,0.143058
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:08:02 -0500,2016-05-13 19:06:49 -0500,2016-05-13 19:07:51 -0500,0.140337
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:07:51 -0500,2016-05-13 19:08:52 -0500,0.105459
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:08:52 -0500,2016-05-13 19:09:54 -0500,0.157344
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:09:54 -0500,2016-05-13 19:10:56 -0500,0.159257
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:10:56 -0500,2016-05-13 19:11:57 -0500,0.156126
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:11:57 -0500,2016-05-13 19:12:59 -0500,0.156871
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:14:22 -0500,2016-05-13 19:12:59 -0500,2016-05-13 19:14:01 -0500,0.13654
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:14:01 -0500,2016-05-13 19:17:02 -0500,0.0256626
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:17:02 -0500,2016-05-13 19:18:04 -0500,0.0350081
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:20:17 -0500,2016-05-13 19:21:19 -0500,0.0567436
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:21:19 -0500,2016-05-13 19:24:34 -0500,0.0455589
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:24:34 -0500,2016-05-13 19:25:35 -0500,0.0722965
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:26:55 -0500,2016-05-13 19:25:35 -0500,2016-05-13 19:26:21 -0500,0.0362819
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 19:41:45 -0500,2016-05-13 19:32:43 -0500,2016-05-13 19:34:00 -0500,0.0476778
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 21:45:06 -0500,2016-05-13 20:52:48 -0500,2016-05-13 20:54:20 -0500,0.0451364
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-13 21:45:06 -0500,2016-05-13 21:10:36 -0500,2016-05-13 21:13:10 -0500,0.0414517
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 05:36:58 -0500,2016-05-14 05:15:23 -0500,2016-05-14 05:17:37 -0500,0.0170194
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 11:36:58 -0500,2016-05-14 11:24:35 -0500,2016-05-14 11:28:42 -0500,0.0495544
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 11:56:40 -0500,2016-05-14 12:01:47 -0500,0.219779
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 12:01:47 -0500,2016-05-14 12:06:34 -0500,0.0368784
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 12:06:34 -0500,2016-05-14 12:10:22 -0500,0.0442478
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 12:10:22 -0500,2016-05-14 12:13:27 -0500,0.00775471
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 12:21:22 -0500,2016-05-14 12:27:00 -0500,0.0252898
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 12:36:58 -0500,2016-05-14 12:27:00 -0500,2016-05-14 12:32:00 -0500,0.0172368
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 13:46:27 -0500,2016-05-14 12:32:00 -0500,2016-05-14 12:37:02 -0500,0.108473
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 13:46:27 -0500,2016-05-14 12:37:02 -0500,2016-05-14 12:38:16 -0500,0.0446145
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 13:46:27 -0500,2016-05-14 12:44:48 -0500,2016-05-14 12:46:13 -0500,0.0624105
HKQuantityTypeIdentifierDistanceWalkingRunning,mi,2016-05-14 13:46:27 -0500,2016-05-14 13:04:57 -0500,2016-05-14 13:09:22 -0500,0.140007
